"seed","recruiter.id","id","network.size","Department","victim","recruit.time"
11,-1,11,6,1,0,2021-12-16
11,11,111,2,1,0,2021-12-16
11,11,112,2,1,1,2021-12-16
11,11,113,2,1,0,2021-12-16
11,111,1111,1,1,0,2021-12-16
11,112,1121,4,1,0,2021-12-16
11,113,1131,5,1,0,2021-12-16
11,113,1132,1,1,0,2021-12-16
11,1111,11111,1,1,0,2021-12-16
11,1121,11211,7,1,0,2021-12-16
11,1131,11311,4,1,0,2021-12-16
11,1132,11321,1,1,0,2021-12-16
11,11211,112111,1,1,0,2021-12-16
11,11321,113211,5,1,0,2021-12-16
15,151312,1513121,3,2,0,2021-12-27
15,-1,15,8,2,0,2021-12-26
15,15,151,3,2,0,2021-12-26
15,15,152,1,2,0,2021-12-26
15,15,153,2,2,0,2021-12-26
15,151,1511,5,2,0,2021-12-26
15,151,1512,2,2,0,2021-12-26
15,151,1513,2,2,0,2021-12-26
15,152,1521,3,2,0,2021-12-27
15,153,1531,1,2,0,2021-12-27
15,1511,15111,4,2,0,2021-12-26
15,1511,15112,2,2,0,2021-12-26
15,1512,15121,5,2,0,2021-12-26
15,1512,15122,2,2,0,2021-12-26
15,1513,15131,2,2,0,2021-12-26
15,1513,15132,20,2,0,2021-12-26
15,15111,151111,2,2,0,2021-12-26
15,15111,151112,2,2,0,2021-12-26
15,15112,151121,3,2,0,2021-12-26
15,15112,151122,5,2,0,2021-12-26
15,15121,151211,2,2,1,2021-12-27
15,15121,151212,2,2,0,2021-12-26
15,15122,151221,3,2,0,2021-12-27
15,15122,151222,2,2,0,2021-12-27
15,15131,151311,4,2,0,2021-12-26
15,15131,151312,2,2,0,2021-12-26
15,15132,151321,5,2,0,2021-12-26
15,15132,151322,3,2,0,2021-12-27
15,151111,1511111,5,2,0,2021-12-27
15,151111,1511112,8,2,0,2021-12-26
15,151112,1511121,5,2,0,2021-12-27
15,151121,1511211,2,2,1,2021-12-27
15,151122,1511221,5,2,0,2021-12-27
15,151211,1512111,1,2,0,2021-12-27
15,151212,1512121,6,2,0,2021-12-27
15,151221,1512211,5,2,0,2021-12-27
15,151222,1512221,1,2,0,2021-12-27
15,151311,1513111,4,2,0,2021-12-27
15,151321,1513211,4,2,1,2021-12-27
15,151322,1513221,10,2,0,2021-12-27
15,1511112,15111121,2,2,1,2021-12-27
15,1513211,15132111,3,2,1,2021-12-27
